Company                       Product                       Description
ASML                          3400C                         An earlier EUV lithography tool shipped by ASML (primarily in 2021), with an overlay accuracy of 1.5nm.
ASML                          NXT 2100i                     A lithography system released in 2022 by ASML, notable for its ability to achieve an overlay accuracy of 1.5nm for advanced semiconductor nodes.
ASML                          NXE:3800E                     A current low-NA EUV scanner tool used in leading edge technology nodes, whose throughput benefits from lower exposure doses compared to high-NA systems.
ASML Holding NV               1980i                         A lithography tool used in the production of 7nm technologies that is now subject to strict export controls due to its dedicated chuck overlay performance.
ASML Holding NV               TWINSCAN NXT:1980Di           An advanced DUV lithography tool that is effectively banned from export to China for use in advanced-node fabs.
ASML Holding NV               Lithography Steppers          Equipment used in semiconductor manufacturing for patterning wafers, specifically leveraging lithography processes such as EUV.
Advanced Micro Devices (AMD)  MI250X                        A high-performance computing chip used in AI and advanced processing applications.
Advanced Micro Devices (AMD)  Genoa                         A high-performance CPU product that, despite lacking accelerators, may fall under supercomputer classification due to its performance potential.
Advanced Micro Devices Inc. (AMD)AMD MI250X                    A previous HPC GPU chip used before the advent of the MI300, noted for its compute unit count.
Advanced Micro Devices Inc. (AMD)AMD MI300                     A next-generation heterogeneous processor combining CPU and GPU compute elements with advanced packaging, offered in multiple variants (MI300A, MI300X, MI300C, MI300P) targeting AI and HPC applications.
Advanced Micro Devices Inc. (AMD)AMD Banff XCD                 A GPU compute chiplet used in the MI300, optimized for compute workloads with a high number of compute units.
Advanced Micro Devices Inc. (AMD)AMD GD300 Durango             A modified Zen 4 CPU chiplet integrated into the MI300 that provides high bandwidth connectivity to the active interposer.
Advanced Micro Devices Inc. (AMD)Elk Range Active Interposer DieThe foundational chiplet building block for the MI300, featuring memory controllers, cache, and high-bandwidth interconnect interfaces.
Advanced Micro Devices, Inc.  Infinity Fabric 4             A high-performance interconnect technology designed to efficiently link chiplets and support multiple protocols including PCIe, CXL, and UCIe.
Advanced Micro Devices, Inc.  AMD Turin                     A product referenced as part of the competitive landscape in the high-performance CPU segment.
Advanced Micro Devices, Inc.  MI300X                        AMD’s newly released GPU accelerator that boasts higher FP8 FLOPS, increased memory bandwidth, and larger memory capacity compared to competing products.
Advanced Micro Devices, Inc.  AMD EPYC 9654 Genoa           A predecessor data center processor offering up to 96 Zen 4 cores, used as a reference point for Bergamo’s core count improvements.
Advanced Micro Devices, Inc.  Bergamo                       An AMD chip that typically reaches production with just 2 to 3 steppings, highlighting a contrast in design efficiency compared to Intel.
Advanced Micro Devices, Inc.  Zen 3                         An AMD CPU microarchitecture built on chiplet designs that delivers high performance per watt and forms the foundation of AMD’s competitive edge.
Advanced Micro Devices, Inc.  MI400                         An upcoming AI accelerator product expected to address the IO limitations found in current PCIe-based designs.
Advanced Micro Devices, Inc.  Genoa                         An AMD chip that, like Bergamo, benefits from fewer design iterations compared to Intel’s process.
Advanced Micro Devices, Inc.  MI300                         An AI accelerator product noted for its use of PCIe SerDes for IO; its design is criticized for limiting the total IO compared to Ethernet-style SerDes.
Advanced Micro Devices, Inc.  AMD EPYC 9004 Bergamo         A new server processor series featuring up to 128 Zen 4c cores, designed for cloud environments with improved core density, power efficiency, and cost-effectiveness.
Advanced Micro Devices, Inc. (AMD)MI250X                        A high-power GPU that is blocked under the new export control rules.
Advanced Micro Devices, Inc. (AMD)MI300                         Another GPU product affected by the restrictions alongside MI250X.
Advanced Micro Devices, Inc. (AMD)AMD GPU/APU for Infotainment  A combined graphics and processing unit solution integrated into Tesla’s infotainment system on the same board as the FSD chips.
Aehr                          WaferPak Contactor            A consumable contactor similar to a probe card that carries the wafer, used in conjunction with the FOX-XP tool. It costs around $1.5M.
Aehr                          FOX-XP                        A wafer-level burn-in test tool for silicon carbide wafers, capable of testing up to 18 wafers simultaneously in a highly regulated extreme temperature environment. Priced at approximately $2.5M.
Aehr                          FOX-XP WaferPak Aligner       An automated aligner that loads and unloads wafers between FOUPs or wafer cassettes and the WaferPak Contactors, priced at less than $1M.
Aehr Test Systems             FOX-XP WaferPak Aligner       A system that uses vacuum suction to load and unload wafers between FOUPs or wafer cassettes and the WaferPak contactors. It is designed to support full automation of the FOX-XP test tools and is generally priced under $1 million.
Aehr Test Systems             WaferPak Contactor            A consumable tool similar to a probe card that not only interfaces with the wafer but also carries it. It features 2048 I/O pins, multiple voltage levels, and supports high-voltage testing at temperatures up to 150°C, costing approximately $1.5 million.
Aehr Test Systems             FOX-XP Tool                   A wafer-level burn-in tool capable of testing 9 to 18 wafers simultaneously inside a controlled, high-temperature chamber with power dissipation over 18 kW. The tool is priced at approximately $2.5 million.
Agibot                        Agibot                        A robot product that has begun mass production, indicative of rapid scale in the robotics market.
Airbnb                        Experiences                   A feature on the Airbnb platform that allows users to book local experiences such as cooking classes, tours, and other activities.
Alibaba                       Yitian                        Alibaba's Arm-based server CPU product referenced in the context of shifting market dynamics.
Amazon                        Amazon Trainium               A chip designed for AI training workloads, ordered through AlChip.
Amazon                        Amazon HealthOmics platform   A platform leveraging AI models for innovations in healthcare and drug discovery.
Amazon                        Amazon Graviton 3             A processor designed for cloud and datacenter applications.
Amazon                        CodeWhisperer                 A machine learning–based code generation tool aimed at assisting developers, as discussed in the context of Amazon’s AI offerings.
Amazon                        Étoile                        A new drama series centered on the world of ballet, featuring a story of a talent swap between New York and Paris companies, available via Amazon Prime.
Amazon                        Bedrock                       An AWS service or product related to generative AI, mentioned as a keyword in the article header.
Amazon                        Twitch.tv                     A live streaming platform primarily used by content creators, recently shifting its revenue share model from 70/30 to 50/50 and capping stream quality in certain regions based on infrastructure costs.
Amazon                        Trainium2                     An AI chip designed for training tasks, part of Amazon’s multi-year AI infrastructure investments.
Amazon                        Trainium 2                    A product used for AI training workloads, assembled by contracted original design manufacturers and benefiting from tariff exemptions under the USMCA.
Amazon                        Inferentia3                   An AI processor targeted for inference workloads, complementing Amazon’s AI strategy.
Amazon                        Alexa                         A voice assistant that, alongside other similar products, could see improvements through advanced generative AI.
Amazon                        Titan                         Referred to as Amazon's very best model in the article, though noted as being outperformed by a number of open-source models.
Amazon                        SageMaker                     A platform used for creating, training, and deploying machine learning models, noted in the article as less critical in practice compared to underlying GPU infrastructure.
Amazon Web Services           Graviton                      An Arm-based server CPU product heavily used in AWS datacenters.
Amazon Web Services           AWS Nitro                     A specialized chip for efficient, cost-effective data center performance.
Amazon.com Inc.               Trainium2 custom silicon      A custom silicon chip developed to accelerate training for large-scale AI models.
Amazon.com, Inc.              Inferentia2                   A chip very similar to Trainium1 but with fewer NeuronLink interconnect ports; largely used for AI inferencing tasks.
Amazon.com, Inc.              Trainium1                     An earlier AI chip used primarily for non-complex internal workloads and generative AI inferencing.
Amazon.com, Inc.              Graviton3                     A custom CPU featuring a chiplet design with advanced packaging, higher memory bandwidth, and efficient power consumption, tailored for AWS instances.
Amazon.com, Inc.              EFAv3                         Elastic Fabric Adapter version 3, a scale-out ethernet networking product used to connect Trainium2 instances with low packet latency.
Amazon.com, Inc.              Trainium2                     A custom AI chip designed for complex generative AI training and inference, featuring approximately 500W power, 667 TFLOP/s dense BF16 performance, 96GB HBM3e memory, and advanced scale-up and scale-out networking.
Amazon.com, Inc.              Custom SSD controller         A controller designed in-house for SSDs that leverages raw NAND alongside software-managed flash translation layers to reduce performance variation and cost.
Amazon.com, Inc.              Graviton 3 Servers            1U servers used in high-density rack environments, each featuring Graviton 3 CPUs.
Amazon.com, Inc.              Project Rainier               A deployment project involving 400k Trainium2 chips intended for Anthropic’s AI workloads.
Amazon.com, Inc.              Trainium                      Amazon’s AI chip designed for deep learning training workloads.
Amazon.com, Inc.              Inferentia                    Amazon’s AI chip optimized for inference tasks.
Amazon.com, Inc.              Amazon Nitro Program          A custom silicon development initiative aimed at optimizing general-purpose CPU computing and storage.
Amazon.com, Inc.              400Gbe Network Interface ControllersHigh-speed NICs that are part of Amazon's development pipeline, deployed for networking applications leveraging proprietary protocols.
Amazon.com, Inc.              AWS Nitro                     A custom hardware stack comprising a hypervisor, a security chip, and specialized networking cards to improve virtualization and offload management tasks.
Amazon.com, Inc.              AWS platform                  Amazon’s cloud computing platform offering a wide range of infrastructure and services.
Ampere Computing              AmpereOne A192 Siryn          A 192-core datacenter CPU featuring in-house CPU cores, a chiplet-style architecture, DDR5 memory and PCIe Gen 5 support, as well as advanced packaging and thermal design, optimized for predictable and scalable cloud performance.
Ampere Computing              Ampere One                    The next-generation Ampere CPU based on a 5nm custom architecture (codenamed 'Siryn') featuring DDR5 and PCIe5, aimed at further performance and feature evolution.
Ampere Computing              Ampere Altra Max              A variant of the Ampere Altra featuring 128 cores in a smaller die size, offering lower cost per core for cloud workloads.
Ampere Computing              Ampere Altra                  A server CPU designed with high core counts (80 cores) optimized for cloud native performance and predictable operation.
Ampere Computing              Altra                         Ampere’s previous CPU line, referenced for comparison with the new AmpereOne, which had lower core counts and used a more conventional monolithic die approach.
Anker                         Nano II chargers              Next generation chargers available in 30, 45, and 65-watt versions, with the 65-watt model achieving the size efficiency previously seen in lower power models thanks to Power Integrations’ technological innovation.
Anthropic                     Claude-2                      A foundation model known for offering a balance of quality and cost, and currently recognized as one of the leading publicly accessible AI models.
Anthropic                     Claude-3                      An upcoming next-generation AI model from Anthropic that is expected to further enhance generative AI capabilities.
Anthropic                     Claude-4                      A future advanced AI model from Anthropic, expected to power next-level AI applications.
Anthropic                     Anthropic Claude 2            A language model built to surpass GPT-3.5 performance in various benchmarks.
Anthropic                     Claude 3.5 Opus               A model from Anthropic mentioned for comparison in terms of training cost and performance.
Anthropic                     Claude                        An AI chatbot whose model is being integrated into other products to enhance research and data analysis.
Anthropic Inc.                Claude AI Models              AI models provided to customers to facilitate the development and deployment of AI agents capable of handling complex, multi-step tasks.
Anthropic, Inc.               Claude 3.5 Opus               An internal model used by Anthropic for synthetic data generation and reward modeling, which was not publicly released.
Anthropic, Inc.               Claude 3.5 Sonnet             A publicly discussed model that benefited from additional post-training enhancements using synthetic data generated by Claude 3.5 Opus.
Anysphere                     Cursor                        A coding tool developed by Anysphere.
Apple                         iPhone 14 Pro                 A premium iPhone model expected to maintain a price point of $999, offering advanced performance and design features.
Apple                         Xcode                         Apple's programming tool which is set to incorporate Anthropic’s Claude Sonnet model for improved code writing and editing.
Apple                         Xcode programming tool        An integrated development environment used for writing and editing code.
Apple                         Siri                          A personal assistant that could be vastly improved with advanced language models and natural voice synthesis.
Apple                         Apple A15                     An in-house designed processor that integrates large amounts of cache and demonstrates how advanced packaging can mitigate pad limitations.
Apple                         iPhone Mini                   A smaller variant of the iPhone that has been discontinued and slated for replacement by a larger model.
Apple                         Apple A series chips          Chips that utilize TSMC’s InFO packaging technology along with advanced fanout substrate designs.
Apple                         iPhone                        Apple’s flagship smartphone line, including models like the iPhone SE and lower-end variants of the iPhone 12, which are experiencing reduced orders and declining sales.
Apple                         iPhone Max                    A larger iPhone model with a similar screen size to the flagship iPhone Pro Max, introduced as a replacement for the iPhone Mini.
Apple                         A15 chipset                   The existing chipset powering the iPhone 13 and used in the iPhone 14 and iPhone 14 Max, balancing performance and cost.
Apple                         A16 chipset                   A new chipset designed to offer performance improvements but not used in the iPhone 14 models due to cost concerns.
Apple                         Apple S series chips          Chips that benefit from advanced packaging techniques involving TSMC’s InFO process.
Apple                         iPhone 14                     A smartphone model that is set to use the existing A15 chipset alongside an increased memory upgrade to 6GB of LPDDR5.
Apple                         iPhone 14 Max                 A variant of the iPhone 14 that features similar specs to the standard model but is positioned at a higher price point.
Apple                         iPhone 14 Pro Max             A premium and larger version of the iPhone 14 Pro, positioned at a price point of $1099 with enhanced features.
Apple                         Apple silicon                 A range of processors designed by Apple for its devices, noted for improved performance and energy efficiency.
Apple                         iPhone 13                     The predecessor smartphone model that shipped with 4GB of LPDDR4X memory.
Apple                         Apple M1 Ultra                A product that integrates multiple advanced packaging types, using silicon bridges instead of a silicon interposer.
Apple                         Apple M series chips          Chips that incorporate advanced packaging with TSMC’s InFO technology.
Apple                         Apple M1                      A low-power processor used in mobile and laptop devices, contributing to TSMC’s high-performance computing revenue segment.
Apple Inc.                    A12 Bionic                    An earlier chip used in previous iPad mini and iPad Air models that serves as a benchmark for the performance gains claimed in the A15 and A14 comparisons.
Apple Inc.                    A14 Bionic                    The previous generation chip, used as a reference for performance improvements in the A15 and compared in discussions of CPU and GPU gains.
Apple Inc.                    A15 Bionic                    Apple’s latest chip featuring a 2+4 core big.LITTLE CPU design, a 4 or 5 core GPU, a 16-core NPU with 15.8 TOPs, new video encoding/decoding capabilities, an updated ISP, variable refresh rate support in Pro models, and a doubled system cache of 32MB.
Apple Inc.                    A15 SOC                       Apple's System-on-Chip that features increased die area and transistor count along with revised CPU, GPU, ISP, and NPU blocks to improve overall performance and efficiency.
Apple Inc.                    A15 SoC                       A chip used in previous iPhone models and as a comparative baseline for the M2’s design and performance improvements.
Apple Inc.                    A16 SoC                       An upcoming chip mentioned as part of a split lineup for iPhones, expected to be used on Pro models with design divergences from the A15.
Apple Inc.                    M3                            An upcoming chip expected to incorporate the next-generation Armv9 based core and be manufactured on TSMC’s N3 node.
Apple Inc.                    M2 Ultra                      A high-end system-on-chip (SoC) used in products like Mac Studio and Mac Pro, formed by stitching together two M2 Max chips using UltraFusion.
Apple Inc.                    M2 SoC                        A system-on-chip with 20 billion transistors announced at WWDC that offers minor CPU improvements but significant enhancements in GPU performance and video editing capabilities.
Apple Inc.                    M2 Pro                        A future higher-end variant of the M2 series, already designed and taped out, based on similar A15 IP.
Apple Inc.                    Apple Intelligence            An AI features suite being developed for the Chinese market that relies on AI models provided by a Chinese firm.
Apple Inc.                    M1 Mac                        A product from Apple's Mac lineup that has contributed to notable market share gains during its transition.
Apple Inc.                    M1                            Apple’s previous generation chip, used as a baseline for comparing improvements in the M2.
Apple Inc.                    M-series SoCs                 Arm-based system-on-chip products used in client notebooks and desktops.
Apple Inc.                    iPhone 12                     Apple's smartphone that features a custom mmWave antenna solution, as revealed by iFixit's teardown.
Apple Inc.                    Apple A16                     A mobile chipset used in Apple products, exemplifying advanced semiconductor design and fabrication.
Apple Inc.                    iPhone 13                     A smartphone that is rumored to support satellite internet connectivity through a modem that incorporates the n53 band.
Apple Inc.                    iPhone 17 Pro                 A premium iPhone model expected to make up approximately 25% of production.
Apple Inc.                    iPhone 17 Pro Max             A premium iPhone model that is expected to account for around 40% of overall production.
Apple Inc.                    iPhone 17 Standard            A standard iPhone model also estimated to comprise about 25% of production.
Apple Inc.                    Foldable iPhone               A book-style foldable iPhone expected to debut next year. The device is anticipated to have an inner display of just under 8 inches when unfolded and an outer display of around 5.7 inches when closed.
Apple Inc.                    Edge-to-Edge iPhone           A model featuring an edge-to-edge display, expected to launch in 2027.
Apple Inc.                    Apple A14 Bionic              A mobile system-on-chip featuring an 88mm2 die size with 11.8 billion transistors, manufactured using a 5nm process node.
Apple Inc.                    M1X (Colloquial)              A next-generation Mac chip referenced in relation to modifications made to the CPU core’s Memory Management Unit (MMU) that were originally intended for this generation.
Apple Inc.                    M2 Max                        A higher-end variant in the M2 series with enhanced performance features, designed alongside the M2 Pro.
Apple Inc.                    M3 Ultra                      A planned high-end chip that was ultimately cancelled.
Apple Inc.                    Ultrathin iPhone              An upcoming ultrathin smartphone model scheduled for release this fall. It is noted to have worse battery life compared to other models.
Apple Inc.                    iPhone                        Apple's flagship smartphone product with a complex bill of materials that drives significant semiconductor demand.
Apple Inc.                    Ultra-thin iPhone             A new ultrathin iPhone expected to be around 5.5 millimeters thick. It features compromises such as a single speaker instead of a dual-speaker setup, one rear camera lens (as opposed to multiple lenses found on premium models), and reduced battery life—with an optional battery case in development to help address the shorter battery performance.
Applied Materials             AMAT Sculpta                  A pattern shaping tool used as part of complementary patterning techniques in lithography.
Applied Materials, Inc.       Modified Physical Vapor Deposition (PVD) ToolA modified deposition tool designed for panel level packaging. It combines techniques used in LCD panels, PCBs, and fan-out wafer level packaging to create large packages (stated as 600mm x 600mm or 670mm x 580mm) that can integrate many chips. The tool is capable of depositing ultra-thin layers (down to 10µm) and forming interconnect layers, low resistance contacts, or conformal seed layers for etched and laser-drilled vias.
Applied Materials, Inc.       Centura Sculpta               A tool that introduces a new process step called pattern shaping, which uses a controllable ribbon beam of plasma to elongate features in one direction. It aims to reduce the need for EUV multi-patterning steps, thereby cutting costs, power consumption, water use, and emissions in advanced semiconductor manufacturing.
Arm                           Neoverse cores                CPU cores tailored for datacenter and cloud computing applications.
Arm                           Cortex cores                  Off-the-shelf CPU cores used in a wide range of devices, including smartphones.
Arm                           Compute Subsystem (CSS)       A fully validated block for datacenter CPUs that allows customization on memory, I/O, and accelerators.
Astera Labs                   Smart Cable Module            A module aimed at enhancing cable connectivity performance as part of Astera Labs’ vision to create a global connectivity platform.
Astera Labs                   Aries Retimers                A family of smart retimer chips designed for PCIe 4.0 and 5.0 applications to overcome signal integrity issues in dense accelerator and cloud systems.
Astera Labs                   Leo Memory Connectivity PlatformA third-generation CXL-based memory accelerator and pooling chip that supports dynamic memory pool resizing without requiring a host CPU restart. It features support for up to 2TB of memory, works with DDR4 and DDR5 (up to 5600MT/s), and is offered in E-series (expansion only) and P-series (pooling and sharing) variants.
Astera Labs                   Leo CXL Memory Controllers    Memory controllers leveraging the CXL protocol to enable advanced memory pooling and facilitate efficient data exchanges in high-performance systems.
Astera Labs                   Taurus Active Electrical Cable (AEC) Paddle Board ModulesModules designed to maintain high-speed signal integrity across active electrical cables in datacenter applications.
Ayar Labs                     TeraPHY chiplet               A 75mm2 chip that delivers 2Tbps of IO by transmitting data through 8 single mode fibers using 32Gbps NRZ channels, enabling support for 64 PCIe 5.0 / CXL lanes while offering significant power and area efficiency compared to traditional optical transceivers.
Ayar Labs                     TeraPHY co-packaged optical IO chipletA proposed optical I/O solution that integrates with RFICs to enable high-speed, low-power data transmission and reduced electromagnetic interference in defense systems and datacenters.
Berkeley                      Microfield Exposure Tool      Tool used by Intel alongside low‐NA systems to characterize and down-select appropriate photoresists for high‐NA EUV lithography.
Biren                         BR104                         A 1-die module AI chip that has roughly half of the BR100’s specifications, including lower aggregated performance figures. Despite lower specs, its design still raises compliance questions under US regulation guidelines.
Biren                         BR100                         An AI chip with performance parameters that could fall under the new export control measures.
Broadcom                      Tomahawk 5                    A switch product used to build large GPU clusters in a cost-effective manner and as an alternative to Nvidia's networking solutions.
Broadcom Inc.                 YouTube Video Encoding Chips  Custom silicon products designed for video encoding applications, mentioned as part of Broadcom’s broader portfolio of customized routing and switching chips.
Broadcom Inc.                 Google TPU                    A custom silicon accelerator chip designed to run AI workloads, referenced as part of Broadcom’s custom silicon ramp for major customers like Google.
Broadcom Inc.                 FBAR Filter                   A filter component originally acquired via the Bulk Acoustic Wave business that has become indispensable in modern smartphones for tuning and filtering radio frequency signals.
Broadcom Inc.                 Meta MTIA                     An in‐house AI chip developed for Meta, produced as part of Broadcom’s custom silicon business.
ByteDance                     TikTok                        A social media app primarily used for creating and sharing short-form video content, which gained prominence during political campaigns.
ByteDance Ltd.                TikTok                        A short-form video application operating globally that is also facing potential regulatory challenges in the U.S.
ByteDance Ltd.                Douyin                        A sister short-form video application to TikTok, operating in China.
Cerebras                      Open Source GPT-3             A version of the GPT-3 architecture trained from scratch using state-of-the-art scaling methods such as μ-parameterization.
Cerebras Systems              Cerebras WSE2                 An AI accelerator product designed for large-scale AI applications.
Cerebras Systems              WSE                           An AI accelerator chip mentioned in the context of supercomputing and advanced computing controls.
Cerebras Systems              Cerebras WSE-2                The second-generation wafer-scale engine chip with dimensions of 215mm x 215mm, designed for machine learning training/inference and high performance computing applications. It leverages on-chip memory, high fabric bandwidth, and advanced interconnects to enable significant performance advantages.
Cerebras Systems Inc.         Andromeda System              A 16 CS-2 wafer-scale system with 13.5 million AI cores, powered by AMD EPYC Milan processors and connected via a high-bandwidth SwarmX fabric link for training large language models.
Character AI                  Character AI Chatbot          A conversational AI system designed to provide companionship and emotional support, while also offering capabilities like social simulation and personalized interaction.
Community Collaboration       Vicuna                        A 13B parameter model that achieved performance close to commercial systems like ChatGPT, developed by a group of collaborating academic and independent researchers.
CoreWeave Inc.                CoreWeave Managed Slurm       A managed offering that provides the Slurm scheduler and simplified deployment for GPU clusters.
CoreWeave Inc.                CoreWeave Bare Metal          An offering that provides raw GPU nodes without managed scheduling software.
CoreWeave Inc.                CoreWeave Managed Kubernetes  A managed Kubernetes offering that abstracts infrastructure management and enables rapid deployment of GPU workloads.
CoreWeave Inc.                CoreWeave Managed SUNK (Slurm in Kubernetes)A managed solution combining Slurm scheduling within Kubernetes for efficient workload orchestration.
Credo                         Active Electrical Cables (AEC)Active electrical cables designed for high-density datacenter applications, offering improved reliability over traditional passive copper cables.
DISCO Corporation             Grinding Wheels (including MICRON-CUT)Ultra-thin grinding wheels used in semiconductor manufacturing, including innovations such as the 40 micron MICRON-CUT wheel.
DISCO Corporation             Laser Lift-off Tool           A tool that uses laser technology to remove an outer full-thickness ring from a wafer as part of advanced integration processes.
DISCO Corporation             Laser Saws and Stealth Dicing ToolsLaser-based cutting tools that include stealth dicing, a process that minimizes the street width between dies, enhancing die yield especially for ultra-small chip designs.
DISCO Corporation             Wafer Dicing Saws (including DAD-2H)Saws used for dicing wafers into individual dies. The DAD-2H model was notably showcased in 1977.
DISCO Corporation             Surface Planarization Tools   Equipment used to flatten and smooth wafer surfaces, often used subsequent to grinding operations.
DISCO Corporation             Wafer Grinders                Machines used for grinding silicon wafers to achieve the desired thickness and surface quality.
DISCO Corporation             CMP Tools                     Chemical Mechanical Planarization tools for surface finishing, although DISCO holds a low market share compared to competitors.
Daily Harvest                 French Lentil and Leek CrumblesA frozen meal product from Daily Harvest that was linked to food poisoning incidents requiring emergency surgery.
DeepSeek                      DeepSeek R1                   A reasoning model derived from DeepSeek V3, employing reinforcement learning on synthetic data to boost reasoning performance and efficiency.
DeepSeek                      DeepSeek V2                   A version of DeepSeek’s model trained on 8.1 trillion tokens, achieving competitive performance with significantly lower compute.
DeepSeek                      DeepSeek V3                   The base model by DeepSeek that integrates innovations like Multi-Token Prediction, Mixture-of-Experts architecture, and Multi-head Latent Attention to improve training efficiency and reduce inference costs.
Dell Technologies             4xA100 Redstone Server        A low-volume, low-end AI server configuration using 4 A100 GPUs targeted primarily at the HPC market.
Dell Technologies             8xH100 HGX Server             A more advanced GPU server configuration that Dell was late to design and ship, reflecting its recent push into the AI server market.
Disco                         Wafer Dicing, Grinding and Cutting EquipmentTools used for cutting and processing semiconductor wafers into individual chips.
EV Group                      Wafer bonding tools           Equipment used for bonding wafers together in semiconductor manufacturing; critical for producing CMOS image sensors, NAND flash, and advanced logic chips.
Fungible                      Merchant Silicon for Cloud-level DPUsA product designed to address the networking and storage scaling demands for cloud infrastructures by leveraging programmable silicon.
Generic                       Passive Direct Attached Copper (DAC) CablesCopper-based cables traditionally used for server connections, which face challenges at higher data rates due to increasing size and error rates.
GlobalFoundries               RF-SOI                        A radio frequency Silicon on Insulator technology used in specialty applications.
GlobalFoundries               Fotonix                       A silicon photonics offering branded as Fotonix, aimed at advancing photonic technologies.
GlobalFoundries Inc.          12FDX                         An upcoming generation FD-SOI process technology that continues GlobalFoundries’ commitment to advanced manufacturing.
GlobalFoundries Inc.          GF Fotonix platform           A silicon photonics platform that utilizes GlobalFoundries’ 90WG and 45CLO process nodes along with innovative packaging technologies to enable high-bandwidth, low-power optical interconnects for data centers and other applications.
GlobalFoundries Inc.          22FDX                         A high-volume, advanced fully depleted silicon on insulator (FD-SOI) process technology offered by GlobalFoundries.
